compounds,name,maxFlux
cpd00731,Ala-Ala,100
cpd00738,phosphoserine,100
cpd00740,Trimethylsulfonium,100
cpd00751,L-Fucose,100
cpd00762,4-Guanidinobutanoate,100
cpd00764,7-8-Diaminononanoate,100
cpd00765,L-Gulonolactone,100
cpd00776,"Squalene 2,3-oxide",100
cpd00781,5-Dehydrogluconate,100
cpd00791,ProtoporphyrinogenIX,100
cpd00793,Thiamine phosphate,100
cpd00794,Trehalose,100
cpd00797,(R)-3-Hydroxybutanoate,100
cpd00800,8-Amino-7-oxononanoate,100
cpd00802,D-fructose-1-phosphate,100
cpd00811,Trimethylamine N-oxide,100
cpd00824,Sphinganine 1-phosphate,100
cpd00832,N-Acetyl-D-chondrosamine,100
cpd00834,Phosphopantetheine,100
cpd00851,trans-4-Hydroxy-L-proline,100
cpd00854,Homoprotocatechuate,100
cpd00868,p-hydroxyphenylpyruvate,100
cpd00870,gamma-butyrobetaine,100
cpd00876,3-Hydroxyisobutyrate,100
cpd00881,Caffeate,100
cpd00902,sn-glycero-3-Phospho-1-inositol,100
cpd00906,all-trans-Hexaprenyl diphosphate,100
cpd00908,Glycerophosphoethanolamine,100
cpd00949,"3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate",100
cpd00971,Sodium,100
cpd00988,3'-AMP,100
cpd00989,3'-UMP,100
cpd00998,Octane,100
cpd01006,Aspirin,100
cpd01012,Cadmium,100
cpd01015,Cyanate,100
cpd01017,Cys-Gly,100
cpd01020,Gallate,100
cpd01024,Methane,100
cpd01030,Salicin,100
cpd01034,Toluol,100
cpd01042,p-Cresol,100
cpd01048,Arsenate,100
cpd01055,D-Allose,100
cpd01067,L-Lyxose,100
cpd01080,Octadecanoate,100
cpd01092,Allantoin,100
cpd01107,Decanoate,100
cpd01112,Galactose,100
cpd01113,Hexanoate,100
cpd01132,Puromycin,100
cpd01133,Stachyose,100
cpd01150,Acrylamide,100
cpd01155,Cadaverine,100
cpd01160,Cysteamine,100
